total_area,morris_row_index,identifier,Class
153.96397894785852,26,17,NT
0,27,13,NT
1055.5593507088074,27,14,T
1125.3954700948843,27,15,NT
357.22823781721735,27,16,NT
153.96397894785852,27,17,NT
0,28,13,NT
618.3547177611094,28,14,T
308.5497800205526,28,15,NT
0,28,16,NT
45.5631977785074,28,17,NT
0,29,13,NT
657.7233907524392,29,14,T
444.34640507601614,29,15,NT
0,29,16,NT
60.32122928156038,29,17,NT
0,3,13,NT
1235.4412508921605,3,14,T
620.1018942173284,3,15,NT
0,3,16,NT
87.97182508981842,3,17,NT
0,30,13,NT
657.7233907547588,30,14,T
444.3464050909173,30,15,NT
0,30,16,NT
64.88149799460584,30,17,NT
0,31,13,NT
9510.36872710508,31,14,T
2108.363937992036,31,15,NT
2032.2858933846883,31,16,NT
202.00831871306775,31,17,NT
0,32,13,NT
4692.049359845236,32,14,T
1855.3463849393904,32,15,NT
2203.321824754514,32,16,NT
185.88149356895008,32,17,NT
0,33,13,NT
551.08201415976,33,14,T
223.20001553984963,33,15,NT
0,33,16,NT
23.177323406875818,33,17,NT
0,34,13,NT
551.08201415976,34,14,T
223.20001553984963,34,15,NT
0,34,16,NT
23.177323406875818,34,17,NT
0,35,13,NT
793.823006426951,35,14,T
678.797260548138,35,15,NT
0,35,16,NT
104.59461118621098,35,17,NT
0,36,13,NT
819.8134191996983,36,14,T
642.6515147718607,36,15,NT
0,36,16,NT
87.97182508592118,36,17,NT
0,37,13,NT
551.08201415976,37,14,T
223.20001553984963,37,15,NT
0,37,16,NT
23.177323406875818,37,17,NT
0,38,13,NT
793.823006426951,38,14,T
678.797260548138,38,15,NT
0,38,16,NT
104.59461118621098,38,17,NT
0,39,13,NT
819.8134191996983,39,14,T
642.6515147718607,39,15,NT
0,39,16,NT
87.97182508592118,39,17,NT
0,4,13,NT
203.92752972421374,4,14,T
193.39541399873727,4,15,NT
0,4,16,NT
12.438586645951778,4,17,NT
0,40,13,NT
819.8134191996983,40,14,T
642.6515147718607,40,15,NT
0,40,16,NT
87.97182508592118,40,17,NT
0,41,13,NT
1038.7847574965606,41,14,T
678.797260548138,41,15,NT
0,41,16,NT
87.97182508592118,41,17,NT
0,42,13,NT
218.0677484123972,42,14,T
223.2000155404425,42,15,NT
0,42,16,NT
12.438586645951778,42,17,NT
0,43,13,NT
218.0677484123972,43,14,T
223.2000155404425,43,15,NT
0,43,16,NT
12.438586645951778,43,17,NT
0,44,13,NT
203.92752972421374,44,14,T
193.39541399873727,44,15,NT
0,44,16,NT
12.438586645951778,44,17,NT
0,45,13,NT
1055.5593507088074,45,14,T
1125.3954700948843,45,15,NT
357.22823781721735,45,16,NT
153.96397894785852,45,17,NT
0,46,13,NT
1055.5593507088074,46,14,T
1125.3954700948843,46,15,NT
357.22823781721735,46,16,NT
153.96397894785852,46,17,NT
0,47,13,NT
618.3547177611094,47,14,T
308.5497800205526,47,15,NT
0,47,16,NT
45.5631977785074,47,17,NT
0,48,13,NT
630.3767659721387,48,14,T
289.64801802527563,48,15,NT
0,48,16,NT
38.6004081897362,48,17,NT
0,49,13,NT
9510.36872710508,49,14,T
2108.363937992036,49,15,NT
2032.2858933846883,49,16,NT
202.00831871306775,49,17,NT
0,5,13,NT
657.7233907524392,5,14,T
444.34640507601614,5,15,NT
0,5,16,NT
60.32122928156038,5,17,NT
0,50,13,NT
657.7233907547588,50,14,T
444.3464050909173,50,15,NT
0,50,16,NT
64.88149799460584,50,17,NT
0,51,13,NT
657.7233907524392,51,14,T
444.34640507601614,51,15,NT
0,51,16,NT
64.88149799455331,51,17,NT
0,52,13,NT
660.0319662465884,52,14,T
383.45139541546257,52,15,NT
0,52,16,NT
60.32122928169248,52,17,NT
0,53,13,NT
660.0319662465884,53,14,T
383.45139541546257,53,15,NT
